# photometric and parallax of HARPS spectra
# P Jofre, cambridge, Fri Feb  6 23:33:57 2015
Star ra  dec  plx  e_plx  hpmag  s_hpmag b-v  e_b-v  v-i vmag sourceVmag  J2mass  eJ2mass  H2mass  eH2mass  K2mass  eK2mass qual2mass n(in1arcmin) 
 HIP105606     320.8442509614     -41.5521618394     26.78     0.76    7.7528   0.009    0.741   0.003    0.790    7.610   H    6.374   0.019    6.063   0.038    5.935   0.027   AAA   02
 HIP106006     322.0507417591     -21.7255950197     21.11     0.62    8.1330   0.008    0.697   0.022    0.750    7.990   G    6.812   0.024    6.539   0.040    6.459   0.018   AAA   02
 HIP106039     322.1804743144     -21.8071661363     19.06     0.29    4.6602   0.004    0.889   0.032    0.890    4.500   G    2.746   0.252    2.351   0.234    2.263   0.228   DDD   01
 HIP106078     322.3100716688     -50.3167814244     20.26     0.68    7.4699   0.012    0.663   0.004    0.720    7.330   G    6.151   0.021    5.802   0.033    5.746   0.027   AAA   02
 HIP106213     322.6988984878     -62.1674065204     26.80     0.57    7.2728   0.010    0.596   0.004    0.670    7.140   H    6.108   0.019    5.852   0.024    5.773   0.021   AAA   02
 HIP106353     323.0986743179     -20.9571190309     37.17     1.05    8.5956   0.013    0.878   0.002    0.920    8.450   G    6.895   0.026    6.475   0.046    6.357   0.018   AAA   02
 HIP106559     323.7127786303     -20.0843815369     36.90     0.40    5.7931   0.004    0.423   0.005    0.490    5.700   H    4.911   0.037    4.683   0.076    4.637   0.021   EEA   01
 HIP106586     323.8069377096     -34.3294378205     18.61     0.46    6.9731   0.006    0.492   0.005    0.560    6.860   H    5.927   0.024    5.676   0.038    5.609   0.018   AAA   02
 HIP106782     324.4299587061     -45.5855790849     18.60     0.66    7.3001   0.010    0.473   0.005    0.540    7.200   H    6.280   0.021    6.115   0.033    6.043   0.018   AAA   02
 HIP107020     325.1151122525      -2.0173081199     24.25     0.92    8.6881   0.015    0.672   0.001    0.730    8.540   G    7.330   0.029    7.008   0.029    6.915   0.021   AAA   01
 HIP107022     325.1252784200     -74.0747950764     45.41     0.52    7.2046   0.011    0.755   0.002    0.800    7.070   G    5.734   0.026    5.411   0.036    5.274   0.024   AAA   02
 HIP107344     326.1225371261     -38.5521346420      3.76     0.47    6.4446   0.006    1.129   0.006    1.090    6.280   H    4.097   0.244    3.380   0.202    3.268   0.236   DCD   01
 HIP107350     326.1299512399      14.7722144192     55.91     0.45    6.0840   0.010    0.587   0.003    0.660    5.960   H    4.793   0.035    4.598   0.036    4.559   0.038   EEA   02
 HIP107599     326.9174365526     -19.5777917319     16.79     0.75    7.7888   0.008    0.525   0.010    0.600    7.670   H    6.691   0.027    6.424   0.069    6.352   0.027   AAA   01
 HIP107607     326.9332290967     -55.6541583979     11.32     1.08    8.8097   0.018    0.554   0.004    0.630    8.690   H    7.556   0.029    7.212   0.036    7.198   0.023   AAA   01
 HIP107805     327.5964579726     -16.1961871384     26.08     0.82    8.4174   0.017    0.735   0.017    0.780    8.280   H    6.958   0.026    6.632   0.029    6.556   0.024   AAA   01
 HIP108158     328.6899959195     -73.4374163653     25.28     0.51    7.5695   0.013    0.696   0.005    0.750    7.430   G    6.234   0.024    5.933   0.040    5.794   0.017   AAA   02
  HIP10818      34.8166695938      -0.7797610683     25.80     1.03    8.6307   0.019    0.740   0.015    0.790    8.480   G    7.157   0.030    6.816   0.059    6.719   0.016   AAA   02
 HIP108193     328.7946335657     -69.0200078066     21.55     1.10    9.0929   0.024    0.670   0.003    0.730    8.960   G    7.658   0.023    7.328   0.027    7.228   0.021   AAA   02
 HIP108241     328.9248080835     -29.7057013443     30.31     0.93    8.6070   0.016    0.842   0.004    0.880    8.460   G    6.957   0.020    6.562   0.023    6.486   0.020   AAA   02
  HIP10842      34.8899216213     -67.6977157330     26.32     0.57    8.2600   0.011    0.678   0.002    0.740    8.120   G    6.861   0.021    6.517   0.031    6.445   0.021   AAA   01
 HIP108468     329.6012652768     -12.6648079780     29.93     0.74    7.2927   0.008    0.640   0.009    0.700    7.160   H    6.028   0.029    5.715   0.034    5.661   0.018   AAA   02
